source,social_unit,clan,location
bermant2019_etp,,Caribbean,Eastern Tropical Pacific
bermant2019_etp,,FourPlus,Eastern Tropical Pacific
bermant2019_etp,,PlusOne,Eastern Tropical Pacific
bermant2019_etp,,Regular,Eastern Tropical Pacific
bermant2019_etp,,Short,Eastern Tropical Pacific
bermant2019_etp,,Tonga,Eastern Tropical Pacific
hersh2021_idcallr,159,,Gulf of Mexico (GOM)
hersh2021_idcallr,161,,Jarvis Island (JAR)
hersh2021_idcallr,162,,Jarvis Island (JAR)
hersh2021_idcallr,163,,Jarvis Island (JAR)
hersh2021_idcallr,166,,NEW (location unresolved) (NEW)
hersh2021_idcallr,179,,Atlantic Panama (AtPAN)
hersh2021_idcallr,49,,"Eastern Caribbean, Watkins archive (CAR)"
hersh2021_idcallr,50,,"Eastern Caribbean, Watkins archive (CAR)"
hersh2021_idcallr,51,,"Eastern Caribbean, Watkins archive (CAR)"
hersh2021_idcallr,52,,"Eastern Caribbean, Watkins archive (CAR)"
hersh2021_idcallr,53,,"Eastern Caribbean, Watkins archive (CAR)"
hersh2021_idcallr,54,,"Eastern Caribbean, Watkins archive (CAR)"
hersh2021_idcallr,55,,"Eastern Caribbean, Watkins archive (CAR)"
hersh2021_idcallr,56,,"Eastern Caribbean, Watkins archive (CAR)"
hersh2021_idcallr,57,,"Eastern Caribbean, Watkins archive (CAR)"
hersh2021_idcallr,58,,"Eastern Caribbean, Watkins archive (CAR)"
hersh2021_idcallr,59,,"Eastern Caribbean, Watkins archive (CAR)"
hersh2021_idcallr,60,,"Eastern Caribbean, Watkins archive (CAR)"
hersh2021_idcallr,61,,"Eastern Caribbean, Watkins archive (CAR)"
hersh2021_idcallr,62,,"Eastern Caribbean, Watkins archive (CAR)"
hersh2021_idcallr,67,,Balearic Islands (BAL)
hersh2021_idcallr,68,,Balearic Islands (BAL)
hersh2021_idcallr,69,,Balearic Islands (BAL)
hersh2021_idcallr,70,,Balearic Islands (BAL)
hersh2021_idcallr,71,,Balearic Islands (BAL)
hersh2021_idcallr,72,,Balearic Islands (BAL)
hersh2021_idcallr,73,,Balearic Islands (BAL)
hersh2021_idcallr,74,,Balearic Islands (BAL)
hersh2021_idcallr,75,,Balearic Islands (BAL)
hersh2021_idcallr,76,,Balearic Islands (BAL)
hersh2021_idcallr,77,,Balearic Islands (BAL)
hersh2021_idcallr,78,,Balearic Islands (BAL)
hersh2021_idcallr,79,,Balearic Islands (BAL)
hersh2021_idcallr,80,,Balearic Islands (BAL)
hersh2022_pacific,,FP,Galapagos Islands (GAL)
hersh2022_pacific,,PALI,Galapagos Islands (GAL)
hersh2022_pacific,,PO,Galapagos Islands (GAL)
hersh2022_pacific,,REG,Galapagos Islands (GAL)
hersh2022_pacific,,RI,Galapagos Islands (GAL)
hersh2022_pacific,,SH,Galapagos Islands (GAL)
hersh2022_pacific,,SI,Galapagos Islands (GAL)
sharma2024_dswp,A,EC1,"Dominica, Eastern Caribbean"
sharma2024_dswp,D,EC1,"Dominica, Eastern Caribbean"
sharma2024_dswp,F,EC1,"Dominica, Eastern Caribbean"
sharma2024_dswp,J,EC1,"Dominica, Eastern Caribbean"
sharma2024_dswp,K,EC2,"Dominica, Eastern Caribbean"
sharma2024_dswp,N,EC1,"Dominica, Eastern Caribbean"
sharma2024_dswp,P,EC2,"Dominica, Eastern Caribbean"
sharma2024_dswp,R,EC1,"Dominica, Eastern Caribbean"
sharma2024_dswp,S,EC1,"Dominica, Eastern Caribbean"
sharma2024_dswp,T,EC1,"Dominica, Eastern Caribbean"
sharma2024_dswp,U,EC1,"Dominica, Eastern Caribbean"
sharma2024_dswp,V,EC1,"Dominica, Eastern Caribbean"
sharma2024_dswp,ZZZ,EC2,"Dominica, Eastern Caribbean"
sharma2025_birth,,EC1,"Dominica, Eastern Caribbean (live birth event)"
